epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,272.012,1.77456,3.22254,1.23123,0.8301,0.16911,0.1754,0.10117,1.96731,34.3415,1.39571,0.000165657,0.000165657,0.000165657
1,175.999,1.78609,3.51701,1.25847,0.87022,0.14016,0.16555,0.09372,2.04058,3.69848,1.54007,0.000165165,0.000165165,0.000165165
2,350.184,1.63827,1.74939,1.17526,0.68417,0.21485,0.20379,0.11175,2.11239,8.48211,1.5929,0.000315406,0.000315406,0.000315406
3,518.339,1.55168,1.47129,1.15238,0.59723,0.21736,0.22097,0.12889,2.09378,51.164,1.48519,0.000449147,0.000449147,0.000449147
4,688.193,1.50066,1.30525,1.12892,0.62653,0.26942,0.26589,0.15959,2.02297,6.65006,1.47423,0.00042575,0.00042575,0.00042575
5,858.786,1.44797,1.2373,1.11281,0.50669,0.27762,0.29194,0.17031,1.99657,3.84892,1.5358,0.000401,0.000401,0.000401
6,1026.22,1.41242,1.15358,1.09735,0.48542,0.2755,0.26744,0.16162,2.07723,7.34184,1.48408,0.00037625,0.00037625,0.00037625
7,1199.72,1.38929,1.08158,1.08635,0.51658,0.30927,0.32756,0.19772,1.9866,16.8215,1.41745,0.0003515,0.0003515,0.0003515
8,1371.87,1.36602,1.07011,1.08289,0.57563,0.29609,0.32425,0.19502,2.00082,33.1161,1.43369,0.00032675,0.00032675,0.00032675
9,1539.62,1.37247,1.04872,1.0799,0.53438,0.30114,0.31335,0.19175,1.9938,12.0197,1.47165,0.000302,0.000302,0.000302
10,1710.75,1.33997,1.00532,1.06425,0.56265,0.31,0.36374,0.22753,1.93472,18.5374,1.36192,0.00027725,0.00027725,0.00027725
11,1833.36,1.30172,0.9759,1.07274,0.6599,0.30854,0.36041,0.2192,2.0938,6.85888,1.43705,0.0002525,0.0002525,0.0002525
12,1951.15,1.28041,0.94462,1.06538,0.53808,0.31856,0.35916,0.22427,2.01441,5.31259,1.43054,0.00022775,0.00022775,0.00022775
13,2067.94,1.25607,0.90864,1.05485,0.61964,0.31585,0.37189,0.23107,1.9749,20.9485,1.3639,0.000203,0.000203,0.000203
14,2183.78,1.24138,0.87965,1.04729,0.64431,0.33397,0.3866,0.24086,2.01316,7.80258,1.45514,0.00017825,0.00017825,0.00017825
15,2304.22,1.23049,0.85507,1.0378,0.5949,0.33004,0.38395,0.24092,2.03287,14.408,1.39468,0.0001535,0.0001535,0.0001535
16,2420.41,1.21224,0.8421,1.03844,0.65915,0.33631,0.40454,0.24948,1.97385,12.1452,1.37726,0.00012875,0.00012875,0.00012875
17,2536.38,1.19775,0.82527,1.02548,0.57932,0.33746,0.40159,0.24692,1.96594,6.42325,1.4038,0.000104,0.000104,0.000104
18,2653.97,1.20145,0.81536,1.02547,0.60252,0.33286,0.40173,0.24923,1.97971,15.4054,1.39902,7.925e-05,7.925e-05,7.925e-05
19,2772.07,1.17642,0.79445,1.01444,0.6435,0.34601,0.41381,0.2567,1.95178,13.8054,1.39892,5.45e-05,5.45e-05,5.45e-05
20,2891.09,1.16591,0.78997,1.011,0.61007,0.34403,0.41534,0.26043,1.94357,10.1285,1.39354,2.975e-05,2.975e-05,2.975e-05
